Park	Transect	Day	Month	Year	ActualDate	BiMonth	TimeStart	TimeEnd	Thomsons	Impala	Zebra	Gnu	Topi	Warthog	Hartebeast	Grants	Buffalo	Hippo	Giraffe	Ostrich	Eland	Elephant	Oribi	Reedbuck	Waterbuck	Baboons	Bushbuck	Other	Comments	TotalPrey	AvgPrey	Distance
N	WLOW	5	7	2012	5-Jul-12	1	820	846	306	59	0	0	49	0	0	3	0	0	0	0	0	0	0	0	0	0	0	37	 	454	189.971581	4
N	WLOW	16	7	2012	16-Jul-12	2	801	821	310	0	38	0	165	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 	514	189.971581	4
N	WLOW	7	8	2012	7-Aug-12	1	809	827	215	0	16	16	65	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	 	324	189.971581	4
N	WLOW	25	8	2012	25-Aug-12	2	804	820	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	8	189.971581	4
N	WLOW	25	9	2012	25-Sep-12	2	7:37	7:56	49	0	13	172	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	238	189.971581	4
N	WLOW	3	10	2012	03-Oct-12	1	8:59	9:24	59	0	12	197	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	 	273	189.971581	4
N	WLOW	18	10	2012	11-Oct-12	2	8:27	8:41	41	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	45	189.971581	4
N	WLOW	7	11	2012	07-Nov-12	1	8:11	8:27	66	0	0	121	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	 	190	189.971581	4
N	WLOW	24	11	2012	24-Nov-12	2	8:16	8:31	65	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	 	75	189.971581	4
N	WLOW	15	12	2012	15-Dec-12	1	8:38	8:54	228	0	3	2	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	 	242	189.971581	4
N	WLOW	21	12	2012	21-Dec-12	2	8:22	8:36	42	1	8	0	16	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	 	77	189.971581	4
N	WLOW	14	1	2013	14-Jan-13	1	7:52	8:14	261	0	0	0	20	0	0	2	0	0	0	1	38	0	0	0	0	0	0	0	 	322	189.971581
N	WLOW	25	1	2013	25-Jan-13	2	8:35	8:53	83	0	0	0	18	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	 	105	189.971581
N	WLOW	9	2	2013	09-Feb-13	1	8:05	8:20	85	2	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	146	189.971581
N	WLOW	24	2	2013	24-Feb-13	2	8:24	8:43	85	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	 	99	189.971581
N	WLOW	6	3	2013	6-Mar-13	1	8:28	8:42	 	43	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	44	189.971581
N	WLOW	22	3	2013	22-Mar-13	2	8:03	8:16	31	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	123	189.971581
N	WLOW	15	4	2013	15-Apr-13	1	8:14	8:33	149	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	166	189.971581
N	WLOW	17	4	2013	17-Apr-13	2	8:04	8:21	142	0	12	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	177	189.971581
N	WLOW	4	5	2013	04-May-13	1	7:56	8:15	159	0	0	0	21	0	17	0	0	0	0	3	0	0	0	0	0	0	0	0	 	200	189.971581
N	WLOW	18	5	2013	18-May-13	2	8:30	8:45	230	4	1	0	349	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	 	607	189.971581
N	WLOW	14	6	2013	14-Jun-13	1	8:19	8:43	346	45	5	10	140	0	0	16	0	0	0	4	0	0	0	0	0	0	0	0	 	566	189.971581
N	WLOW	24	6	2013	24-Jun-13	2	8:14	8:32	33	0	20	0	27	0	4	10	0	0	0	0	0	0	0	0	0	0	0	0	 	94	189.971581
N	WLOW	3	7	2013	03-Jul-13	1	7:51	8:07	25	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	 	31	189.971581
N	WLOW	18	7	2013	18-Jul-13	2	8:00	8:28	22	0	7	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	189.971581
N	WLOW	5	8	2013	05-Aug-13	1	8:22	8:41	127	 	9	347	 		 		 		 		 		 		 		 		 	483	189.971581
N	WLOW	24	8	2013	24-Aug-13	2	7:56	8:09	50	0	0	0	16	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	71	189.971581
N	WLOW	5	9	2013	05-Sep-13	1	8:19	8:39	87	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	189.971581
N	WLOW	24	9	2013	24-Sep-13	2	7:26	7:45	54	0	21	1	136	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	214	189.971581
N	WLOW	3	10	2013	03-Oct-13	1	8:47	9:04	80	0	0	94	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	189.971581
N	WLOW	17	10	2013	17-Oct-13	2	7:40	7:56	18	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	189.971581
N	WLOW	3	11	2013	03-Nov-13	1	8:07	8:23	58	0	38	43	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178	189.971581
N	WLOW	24	11	2013	24-Nov-13	2	8:11	8:27	46	0	0	467	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	189.971581
N	WLOW	4	12	2013	04-Dec-13	1	8:19	8:36	15	0	5	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	189.971581
N	WLOW	23	12	2013	23-Dec-13	2	8:37	8:50	105	0	0	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	119	189.971581
